UserId,ProductId,Rating,Timestamp
Cristina M,Kindle Paperwhite,5.0,2015-08-08 00:00:00+00:00
Ricky,Kindle Paperwhite,5.0,2015-09-01 00:00:00+00:00
Tedd Gardiner,Kindle Paperwhite,4.0,2015-07-20 00:00:00+00:00
Dougal,Kindle Paperwhite,5.0,2017-06-16 00:00:00+00:00
Miljan David Tanic,Kindle Paperwhite,5.0,2016-08-11 00:00:00+00:00
Janet Matthews Jan,Kindle Paperwhite,4.0,
John Kat's the brains,Kindle Paperwhite,5.0,
samira,Kindle Paperwhite,5.0,
Louis simard,Kindle Paperwhite,4.0,
JanetC,Kindle Paperwhite,5.0,
Shepherd,Kindle Paperwhite,4.0,
Brenda,Kindle Paperwhite,4.0,
Fil Gambatesa,Kindle Paperwhite,5.0,
Roy Bennett,Kindle Paperwhite,5.0,
satisfied customer,Kindle Paperwhite,5.0,
Matthew Coenen,Kindle Keyboard,4.0,
Ron Cronovich,Kindle Keyboard,5.0,
Jeffrey Stanley,Kindle Keyboard,3.0,
Jeffrey Stanley,Kindle Keyboard,3.0,
Matthew Coenen,Kindle Keyboard,4.0,
Ron Cronovich,Kindle Keyboard,5.0,
Gregory P. Baker,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-03 00:00:00+00:00
William Hardin,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,
Gregory P. Baker,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-03 00:00:00+00:00
Mandy,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,2014-04-07 00:00:00+00:00
William Hardin,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,
Dallas,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-06 00:00:00+00:00
Mandy,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,2014-04-07 00:00:00+00:00
William Hardin,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,
Dallas,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-06 00:00:00+00:00
Dallas,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-06 00:00:00+00:00
William Hardin,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-30 00:00:00+00:00
dm,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2016-11-06 00:00:00+00:00
Corey Clarke,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,4.0,2016-11-11 00:00:00+00:00
A.C,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2016-11-28 00:00:00+00:00
Vincent Pompei,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,3.0,2016-11-17 00:00:00+00:00
Bob,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-04-20 00:00:00+00:00
JB 85,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-12 00:00:00+00:00
C. Morrow,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,
Ryan,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-11 00:00:00+00:00
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-30 00:00:00+00:00
Jbird,Amazon Tap Sling Cover - Tangerine,4.0,2016-04-01 00:00:00+00:00
Devin Stephens,Amazon Tap Sling Cover - Tangerine,5.0,
CHRISTOPHER JONES,Amazon Tap Sling Cover - Tangerine,5.0,2016-12-15 00:00:00+00:00
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
Amazon Reviewer,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Samuel Ruiz,"Kindle Fire HDX 8.9""",1.0,2015-03-15 00:00:00+00:00
Tina L. Harmon,"Kindle Fire HDX 8.9""",3.0,2014-10-30 00:00:00+00:00
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
Amazon Reviewer,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon Reviewer,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
"Things I Love Like,","Kindle Fire HDX 8.9""",5.0,
Amazon Reviewer,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
"Things I Love Like,","Kindle Fire HDX 8.9""",5.0,
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
B. Tarbuck,"Kindle Fire HDX 8.9""",3.0,
Amazon Reviewer,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-30 00:00:00+00:00
dm,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2016-11-06 00:00:00+00:00
Corey Clarke,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,4.0,2016-11-11 00:00:00+00:00
A.C,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2016-11-28 00:00:00+00:00
Vincent Pompei,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,3.0,2016-11-17 00:00:00+00:00
Bob,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-04-20 00:00:00+00:00
JB 85,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-12 00:00:00+00:00
C. Morrow,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,
Ryan,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-11 00:00:00+00:00
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-30 00:00:00+00:00
Jbird,Amazon Tap Sling Cover - Blue,4.0,2016-04-01 00:00:00+00:00
Devin Stephens,Amazon Tap Sling Cover - Blue,5.0,
CHRISTOPHER JONES,Amazon Tap Sling Cover - Blue,5.0,2016-12-15 00:00:00+00:00
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-01-30 00:00:00+00:00
dm,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2016-11-06 00:00:00+00:00
Corey Clarke,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,4.0,2016-11-11 00:00:00+00:00
A.C,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2016-11-28 00:00:00+00:00
Vincent Pompei,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,3.0,2016-11-17 00:00:00+00:00
Bob,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-04-20 00:00:00+00:00
JB 85,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-01-12 00:00:00+00:00
C. Morrow,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,
Randall M.,All-New Amazon Fire TV Game Controller,2.0,2016-03-17 00:00:00+00:00
Dean S,All-New Amazon Fire TV Game Controller,3.0,2017-02-03 00:00:00+00:00
Erika S.,All-New Amazon Fire TV Game Controller,5.0,2016-07-27 00:00:00+00:00
Ashley,All-New Amazon Fire TV Game Controller,5.0,2016-09-07 00:00:00+00:00
Linda Watson,All-New Amazon Fire TV Game Controller,5.0,2017-04-22 00:00:00+00:00
olivarulez,All-New Amazon Fire TV Game Controller,4.0,2017-06-11 00:00:00+00:00
Theresa,All-New Amazon Fire TV Game Controller,5.0,2016-09-12 00:00:00+00:00
JJCEO,Fire HD 7 Tablet,5.0,
Liberty Standard,Fire HD 7 Tablet,5.0,
Frank Epstein,Fire HD 7 Tablet,5.0,2015-04-22 00:00:00+00:00
Michael Gallagher,Fire HD 7 Tablet,5.0,
Randall M.,Amazon Fire TV Game Controller,2.0,2016-03-17 00:00:00+00:00
Dean S,Amazon Fire TV Game Controller,3.0,2017-02-03 00:00:00+00:00
Linda Watson,Amazon Fire TV Game Controller,5.0,2017-04-22 00:00:00+00:00
Ashley,Amazon Fire TV Game Controller,5.0,2016-09-07 00:00:00+00:00
Theresa,Amazon Fire TV Game Controller,5.0,2016-09-12 00:00:00+00:00
Ekgeis,Amazon Fire TV Game Controller,5.0,2017-01-24 00:00:00+00:00
JEREMY L THOMPSON,Amazon Fire TV Game Controller,1.0,2016-09-09 00:00:00+00:00
Daultim,Amazon Fire TV Game Controller,4.0,2017-04-23 00:00:00+00:00
Erika S.,Amazon Fire TV Game Controller,5.0,2016-07-27 00:00:00+00:00
